token,status,proposed,note
microspcopic,REVIEW,,Context reviewed; source verification required before normalization.
microspecimen,REVIEW,,Context reviewed; source verification required before normalization.
microspherocytic,REVIEW,,Unrecognized lexical token; verify against source
microvasculaturc,REVIEW,,Context reviewed; source verification required before normalization
microvessels,VALID,,Valid medical term
microßora,REVIEW,,Context reviewed; source verification required before normalization.
midantan,REVIEW,,Context reviewed; source verification required before normalization.
middlc,REVIEW,,Context reviewed; source verification required before normalization.
mildronate,REVIEW,,Context reviewed; source verification required before normalization.
mimmi,REVIEW,,Context reviewed; source verification required before normalization.
minerali-zation,REVIEW,mineralization,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
minkowsky-shauffard,REVIEW,,Unrecognized lexical token; verify against source
miocardial,LIKELY_TYPO,myocardial,Probable spelling error
mitochondrions,REVIEW,,Context reviewed; source verification required before normalization.
moderatly,REVIEW,,Context reviewed; source verification required before normalization.
monoaminedicarboxylic,REVIEW,,Context reviewed; source verification required before normalization.
monoamino-oxidase,REVIEW,monoaminooxidase,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
monocarbon,REVIEW,,Context reviewed; source verification required before normalization.
monochromatid,REVIEW,,Context reviewed; source verification required before normalization.
monopht,REVIEW,,Context reviewed; source verification required before normalization.
morrissyndrome,REVIEW,,Context reviewed; source verification required before normalization.
mosmol,REVIEW,,Context reviewed; source verification required before normalization.
mosmole,REVIEW,,Context reviewed; source verification required before normalization
mosqui-tos,REVIEW,mosquitos,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
motorvisceral,REVIEW,,Unrecognized lexical token; verify against source
mucocytes,REVIEW,,Context reviewed; source verification required before normalization.
multirowed,REVIEW,,Context reviewed; source verification required before normalization.
musclc,REVIEW,,Context reviewed; source verification required before normalization.
muscolocutaneus,REVIEW,,Context reviewed; source verification required before normalization.
musculocutaneu,REVIEW,,Context reviewed; source verification required before normalization.
muselcs,REVIEW,,Context reviewed; source verification required before normalization.
myeloleukemia,REVIEW,,Unrecognized lexical token; verify against source
myeloleukosis,REVIEW,,Context reviewed; source verification required before normalization
myocard,REVIEW,,Context reviewed; source verification required before normalization.
myocardal,REVIEW,,Context reviewed; source verification required before normalization.
myocardi-um,REVIEW,myocardium,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
myocardiocyte,REVIEW,,Context reviewed; source verification required before normalization.
myocardiocytes,VALID,,Valid medical term
myoepitheliocytes,REVIEW,,Context reviewed; source verification required before normalization.
myorelaxant,REVIEW,,Context reviewed; source verification required before normalization.
myosatellite,REVIEW,,Context reviewed; source verification required before normalization.
mytochondria,REVIEW,,Context reviewed; source verification required before normalization.
n-cholinomimetics,REVIEW,,Context reviewed; source verification required before normalization.
naphtaquinone,REVIEW,,Context reviewed; source verification required before normalization.
narcological,REVIEW,,Context reviewed; source verification required before normalization.
natriuria,REVIEW,,Unrecognized lexical token; verify against source
necronephrosis,REVIEW,,Unrecognized lexical token; verify against source
necrotization,REVIEW,,Context reviewed; source verification required before normalization.
neodicumarin,REVIEW,,Context reviewed; source verification required before normalization.
nephri-tic,REVIEW,,Unrecognized lexical token; verify against source
nephrothelium,REVIEW,,Context reviewed; source verification required before normalization.
nerv,REVIEW,,Context reviewed; source verification required before normalization.
netoglubarate,REVIEW,,Context reviewed; source verification required before normalization.
neuroalbumin,REVIEW,,Context reviewed; source verification required before normalization.
neurocytes,REVIEW,,Context reviewed; source verification required before normalization.
neurodystrophy,REVIEW,,Unrecognized lexical token; verify against source
neuroglobulin,REVIEW,,Context reviewed; source verification required before normalization.
neurostromin,REVIEW,,Context reviewed; source verification required before normalization.
neurotransmi-ssion,REVIEW,neurotransmission,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
neutrophi-ls,LIKELY_TYPO,neutrophils,Probable PDF/OCR hyphenation artifact
nflammation,LIKELY_TYPO,inflammation,Probable spelling/OCR error
nflammatory,REVIEW,,Context reviewed; source verification required before normalization.
nicodinum,REVIEW,,Context reviewed; source verification required before normalization.
nigeria,REVIEW,,Context reviewed; source verification required before normalization.
nimesulide,REVIEW,,Context reviewed; source verification required before normalization.
nipples,REVIEW,,Context reviewed; source verification required before normalization.
nitriglycerin,REVIEW,,Context reviewed; source verification required before normalization.
nitrofural,REVIEW,,Context reviewed; source verification required before normalization.
nlarged,REVIEW,,Context reviewed; source verification required before normalization.
noadrenalin,REVIEW,,Context reviewed; source verification required before normalization.
nonclosure,REVIEW,,Context reviewed; source verification required before normalization.
nonkeratinous,REVIEW,,Context reviewed; source verification required before normalization.
nonmuscular,REVIEW,,Context reviewed; source verification required before normalization.
nootropil,REVIEW,,Context reviewed; source verification required before normalization.
normergic,REVIEW,,Verify source terminology
normocytes,VALID,,Valid medical term
normosmolar,REVIEW,,Unrecognized lexical token; verify against source
noshpa,REVIEW,,Context reviewed; source verification required before normalization.
novo,REVIEW,,Context reviewed; source verification required before normalization.
nucleicacidsynthesis,REVIEW,,Context reviewed; source verification required before normalization.
nucleosoma,REVIEW,,Context reviewed; source verification required before normalization.
nullisomy,REVIEW,,Context reviewed; source verification required before normalization.
o-anligen,REVIEW,,Context reviewed; source verification required before normalization.
o-diagnosticum,REVIEW,,Context reviewed; source verification required before normalization.
o-lymphocytcs,REVIEW,,Context reviewed; source verification required before normalization.
objecti-ve,REVIEW,,Unrecognized lexical token; verify against source
obliqus,REVIEW,,Context reviewed; source verification required before normalization.
obturational,REVIEW,,Unrecognized lexical token; verify against source
obturative,REVIEW,,Unrecognized lexical token; verify against source
occured,REVIEW,,Context reviewed; source verification required before normalization.
occurences,REVIEW,,Context reviewed; source verification required before normalization.
occuring,REVIEW,,Context reviewed; source verification required before normalization.
octadine,REVIEW,,Context reviewed; source verification required before normalization.
oculornolor,REVIEW,,Context reviewed; source verification required before normalization.
ocytocin,REVIEW,,Context reviewed; source verification required before normalization.
oeroids,REVIEW,,Context reviewed; source verification required before normalization.
offi-ce,REVIEW,office,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
ofthe,REVIEW,,Context reviewed; source verification required before normalization.
oliencephalon,REVIEW,,Unrecognized lexical token; verify against source
olthese,REVIEW,,Context reviewed; source verification required before normalization.
omnopon,REVIEW,,Context reviewed; source verification required before normalization.
openining,REVIEW,,Context reviewed; source verification required before normalization.
ophtalmic,REVIEW,,Context reviewed; source verification required before normalization.
opsono-phagocytic,REVIEW,opsonophagocytic,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
opsonophagocytic,REVIEW,,Context reviewed; source verification required before normalization.
oramen,REVIEW,,Context reviewed; source verification required before normalization.
organellas,REVIEW,,Context reviewed; source verification required before normalization.
organi-sm,REVIEW,organism,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
orgarv,REVIEW,,Context reviewed; source verification required before normalization.
ori-entation,REVIEW,,Unrecognized lexical token; verify against source
orientative,REVIEW,,Context reviewed; source verification required before normalization
ormis,REVIEW,,Context reviewed; source verification required before normalization.
ornithinic,REVIEW,,Context reviewed; source verification required before normalization.
ornithodorus,REVIEW,,Context reviewed; source verification required before normalization.
ornitodorus,REVIEW,,Context reviewed; source verification required before normalization.
orotaciduria,REVIEW,,Context reviewed; source verification required before normalization.
osmiophil,REVIEW,,Context reviewed; source verification required before normalization.
osteolaterism,REVIEW,,Context reviewed; source verification required before normalization.
osteomielitis,REVIEW,,Context reviewed; source verification required before normalization.
osteomyeli-tis,REVIEW,osteomyelitis,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
ovarv,REVIEW,,Context reviewed; source verification required before normalization.
ovoalbumin,REVIEW,,Context reviewed; source verification required before normalization.
ovoscopic,REVIEW,,Context reviewed; source verification required before normalization.
oxoline,REVIEW,,Context reviewed; source verification required before normalization.
oxyacyl-coa,REVIEW,oxyacylcoa,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
oxydalforf,REVIEW,,Context reviewed; source verification required before normalization.
oxydation,REVIEW,,Context reviewed; source verification required before normalization.
oxygenconsumption,LIKELY_TYPO,oxygen consumption,Probable missing-space artifact
oxygendifference,REVIEW,,Context reviewed; source verification required before normalization.
oxylysine,REVIEW,,Context reviewed; source verification required before normalization.
oxyphilia,REVIEW,,Context reviewed; source verification required before normalization.
oxyproline,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
oxytryptofane,REVIEW,,Context reviewed; source verification required before normalization.
oxytryptophan,REVIEW,,Context reviewed; source verification required before normalization.
ozheshko,REVIEW,,Context reviewed; source verification required before normalization.
paathology,REVIEW,,Context reviewed; source verification required before normalization.
painfullness,REVIEW,,Context reviewed; source verification required before normalization.
palestinian,REVIEW,,Context reviewed; source verification required before normalization
palmuris,REVIEW,,Context reviewed; source verification required before normalization.
palpitati-ons,LIKELY_TYPO,palpitations,Probable PDF hyphenation artifact
panangin,REVIEW,,Context reviewed; source verification required before normalization.
panangine,REVIEW,,Context reviewed; source verification required before normalization.
panbronchitis,REVIEW,,Context reviewed; source verification required before normalization.
pancreatectotny,REVIEW,,Context reviewed; source verification required before normalization.
pancreatine,REVIEW,,Context reviewed; source verification required before normalization.
pancreatius,REVIEW,,Context reviewed; source verification required before normalization.
papaveretum,REVIEW,,Context reviewed; source verification required before normalization.
papillipes,REVIEW,,Context reviewed; source verification required before normalization.
papu,REVIEW,,Context reviewed; source verification required before normalization.
paracephalia,REVIEW,,Context reviewed; source verification required before normalization.
paradontosis,REVIEW,,Context reviewed; source verification required before normalization.
parastcrnal,REVIEW,,Context reviewed; source verification required before normalization.
parathy,REVIEW,,Context reviewed; source verification required before normalization.
parathyreoidinum,REVIEW,,Context reviewed; source verification required before normalization.
parenchimatous,REVIEW,,Context reviewed; source verification required before normalization.
parodontitis,REVIEW,,Unrecognized lexical token; verify against source
parodontosis,REVIEW,,Context reviewed; source verification required before normalization.
parti-culars,REVIEW,particulars,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
parvula,REVIEW,,Context reviewed; source verification required before normalization.
pastous,REVIEW,,Context reviewed; source verification required before normalization.
pathjlogy,LIKELY_TYPO,pathology,Probable spelling/OCR error
pathohistological,REVIEW,,Context reviewed; source verification required before normalization
pathologyhistology,REVIEW,,Context reviewed; source verification required before normalization.
pathometabolism,REVIEW,,Unrecognized lexical token; verify against source
patien,REVIEW,,Context reviewed; source verification required before normalization.
patient’sbones,REVIEW,,Context reviewed; source verification required before normalization.
patternthat,REVIEW,,Context reviewed; source verification required before normalization.
pearshaped,REVIEW,,Context reviewed; source verification required before normalization.
pectinale,REVIEW,,Context reviewed; source verification required before normalization.
pecularities,REVIEW,,Context reviewed; source verification required before normalization.
pecularity,REVIEW,,Context reviewed; source verification required before normalization.
peeli-ng,REVIEW,peeling,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
pemridine,REVIEW,,Context reviewed; source verification required before normalization.
penomenon,LIKELY_TYPO,phenomenon,Probable spelling/OCR error
pentaminum,REVIEW,,Context reviewed; source verification required before normalization.
pentosephosphate,REVIEW,,Context reviewed; source verification required before normalization.
peri-toneal,REVIEW,peritoneal,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
periferal,REVIEW,,Context reviewed; source verification required before normalization.
periodi-cal,REVIEW,,Unrecognized lexical token; verify against source
peripherial,LIKELY_TYPO,peripheral,Probable spelling/OCR error
peritheral,REVIEW,,Context reviewed; source verification required before normalization.
persulcatu,REVIEW,,Context reviewed; source verification required before normalization.
pfeiffer,REVIEW,,Context reviewed; source verification required before normalization.
ph-metry,REVIEW,,Unrecognized lexical token; verify against source
phagotyping,REVIEW,,Context reviewed; source verification required before normalization.
phenazepam,REVIEW,,Context reviewed; source verification required before normalization.
phenomenonindicates,REVIEW,,Context reviewed; source verification required before normalization.
phenotherol,REVIEW,,Context reviewed; source verification required before normalization.
phenylin,REVIEW,,Context reviewed; source verification required before normalization.
phenylkelonuria,REVIEW,,Context reviewed; source verification required before normalization.
phlebotominae,REVIEW,,Context reviewed; source verification required before normalization.
pholate,REVIEW,,Context reviewed; source verification required before normalization.
phosphacole,REVIEW,,Context reviewed; source verification required before normalization.
phosphaturidine,REVIEW,,Context reviewed; source verification required before normalization.
phosphofructomutase,REVIEW,,Context reviewed; source verification required before normalization.
phosphorilation,REVIEW,,Context reviewed; source verification required before normalization.
photosensory,REVIEW,,Context reviewed; source verification required before normalization.
phthalazol,REVIEW,,Context reviewed; source verification required before normalization.
phtirus,REVIEW,,Context reviewed; source verification required before normalization.
pictus,REVIEW,,Context reviewed; source verification required before normalization.
pipolphen,REVIEW,,Context reviewed; source verification required before normalization.
pirilenum,REVIEW,,Context reviewed; source verification required before normalization.
pirogov,REVIEW,,Context reviewed; source verification required before normalization.
plantari,REVIEW,,Context reviewed; source verification required before normalization.
plaqueshaped,REVIEW,,Context reviewed; source verification required before normalization.
plasmablastic,REVIEW,,Context reviewed; source verification required before normalization.
plasmablasts,REVIEW,,Context reviewed; source verification required before normalization.
plasmacytes,REVIEW,,Context reviewed; source verification required before normalization
plasmoblasts,REVIEW,,Context reviewed; source verification required before normalization.
plasmocoagulase,REVIEW,,Context reviewed; source verification required before normalization.
plasmocytes,REVIEW,,Unrecognized lexical token; verify against source
plasmodiae,REVIEW,,Context reviewed; source verification required before normalization.
plasmodiums,REVIEW,,Context reviewed; source verification required before normalization.
plasturgie,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
platyphyllin,REVIEW,,Context reviewed; source verification required before normalization.
plephora,REVIEW,,Unrecognized lexical token; verify against source
plephoric,REVIEW,,Context reviewed; source verification required before normalization.
ploskirev,REVIEW,,Context reviewed; source verification required before normalization.
ploskyrev,REVIEW,,Context reviewed; source verification required before normalization.
pneumofibrosis,VALID,,Valid medical term
pneumonie,REVIEW,,Context reviewed; source verification required before normalization.
pneumosclerosis,VALID,,Valid medical term
pnmary,REVIEW,,Context reviewed; source verification required before normalization.
poisoni-ng,REVIEW,poisoning,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
polessye,REVIEW,,Context reviewed; source verification required before normalization.
policiq,REVIEW,,Context reviewed; source verification required before normalization.
policis,REVIEW,,Context reviewed; source verification required before normalization.
polychromatophils,REVIEW,,Context reviewed; source verification required before normalization
polyomaviruses,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
poorlylocalized,REVIEW,,Unrecognized lexical token; verify against source
popov,REVIEW,,Context reviewed; source verification required before normalization.
posi-tive,REVIEW,positive,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
positi-ve,REVIEW,positive,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
postenor,REVIEW,,Context reviewed; source verification required before normalization.
posteri-or,REVIEW,posterior,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
postishemic,REVIEW,,Unrecognized lexical token; verify against source
postlysosomes,REVIEW,,Context reviewed; source verification required before normalization.
posttranslative,REVIEW,,Context reviewed; source verification required before normalization.
ppreliminary,REVIEW,,Context reviewed; source verification required before normalization.
praegastrica,REVIEW,,Context reviewed; source verification required before normalization.
praimary,REVIEW,,Context reviewed; source verification required before normalization.
prasosin,REVIEW,,Context reviewed; source verification required before normalization.
prazosinum,REVIEW,,Context reviewed; source verification required before normalization.
preagony,REVIEW,,Context reviewed; source verification required before normalization
precipitaion,REVIEW,,Context reviewed; source verification required before normalization.
precomatose,REVIEW,,Context reviewed; source verification required before normalization.
prenoxdiazine,REVIEW,,Context reviewed; source verification required before normalization.
preparati-ons,REVIEW,preparations,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
prescri,REVIEW,,Context reviewed; source verification required before normalization.
prescri-bed,REVIEW,prescribed,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
presense,REVIEW,,Context reviewed; source verification required before normalization.
preshock,REVIEW,,Unrecognized lexical token; verify against source
presribed,REVIEW,,Context reviewed; source verification required before normalization.
prestart,REVIEW,,Context reviewed; source verification required before normalization.
pretacheal,REVIEW,,Context reviewed; source verification required before normalization.
prethreshold,REVIEW,,Context reviewed; source verification required before normalization.
pretracheale,REVIEW,,Context reviewed; source verification required before normalization.
previsceral,REVIEW,,Context reviewed; source verification required before normalization.
primari-ly,LIKELY_TYPO,primarily,Probable PDF hyphenation artifact
primase,REVIEW,,Context reviewed; source verification required before normalization.
proli-feration,REVIEW,proliferation,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
promedol,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
promonocytes,REVIEW,,Context reviewed; source verification required before normalization.
promyelocytes,VALID,,Valid medical/scientific term in context
proopiomelanocortin,REVIEW,,Context reviewed; source verification required before normalization.
propranalol,REVIEW,,Context reviewed; source verification required before normalization.
proprioreceptors,REVIEW,,Context reviewed; source verification required before normalization.
proscrin,REVIEW,,Context reviewed; source verification required before normalization.
proserin,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
proserine,REVIEW,,Context reviewed; source verification required before normalization.
proteinsynthesis,REVIEW,,Context reviewed; source verification required before normalization.
prothromboplastin,REVIEW,,Context reviewed; source verification required before normalization.
pryce,REVIEW,,Context reviewed; source verification required before normalization.
pseudocovered,REVIEW,,Context reviewed; source verification required before normalization.
pseudoerosion,REVIEW,,Context reviewed; source verification required before normalization.
pseudolobules,REVIEW,,Context reviewed; source verification required before normalization.
pseudonutmeg,REVIEW,,Context reviewed; source verification required before normalization.
psychoemotional,REVIEW,,Unrecognized lexical token; verify against source
pulmonological,REVIEW,,Context reviewed; source verification required before normalization
pumbing,LIKELY_TYPO,pumping,Probable spelling error
punction,REVIEW,,Context reviewed; source verification required before normalization.
pyoinflammatory,REVIEW,,Context reviewed; source verification required before normalization.
pyracetam,REVIEW,,Context reviewed; source verification required before normalization.
pyrimidin,REVIEW,,Context reviewed; source verification required before normalization.
pyrroxanum,REVIEW,,Context reviewed; source verification required before normalization.
quanity,LIKELY_TYPO,quantity,Probable spelling/OCR error
radiati-ng,REVIEW,radiating,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
raspiratory,REVIEW,,Context reviewed; source verification required before normalization.
rcabsorption,LIKELY_TYPO,reabsorption,Probable spelling/OCR error
rcinlorccmcnt,REVIEW,,Context reviewed; source verification required before normalization.
reacti-on,REVIEW,reaction,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
reacti-ons,REVIEW,reactions,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
reagine,REVIEW,,Context reviewed; source verification required before normalization.
recei-ved,REVIEW,,Unrecognized lexical token; verify against source
redbonemarrow,REVIEW,,Context reviewed; source verification required before normalization.
reflectory,REVIEW,,Possible nonstandard wording or typo
regon,REVIEW,,Context reviewed; source verification required before normalization.
rehydron,REVIEW,,Context reviewed; source verification required before normalization.
reperfusion,VALID,,Valid medical term
resently,REVIEW,,Context reviewed; source verification required before normalization
reserpin,REVIEW,,Context reviewed; source verification required before normalization.
resilts,REVIEW,,Context reviewed; source verification required before normalization.
respi-ration,REVIEW,,Unrecognized lexical token; verify against source
respi-ratory,REVIEW,respiratory,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
respiratoty,LIKELY_TYPO,respiratory,Probable spelling error
responce,LIKELY_TYPO,response,Probable spelling error
responces,REVIEW,,Context reviewed; source verification required before normalization.
restrictase,REVIEW,,Context reviewed; source verification required before normalization.
retabolil,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
retrovi-scerale,REVIEW,retroviscerale,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
rezul,REVIEW,,Context reviewed; source verification required before normalization.
reßectory,REVIEW,,OCR character corruption detected; verify source before correction
reßectrory,REVIEW,,OCR character corruption detected; verify source before correction
reßex,REVIEW,,Context reviewed; source verification required before normalization.
reßexes,REVIEW,,Context reviewed; source verification required before normalization.
rh-negative,REVIEW,,Context reviewed; source verification required before normalization.
rh-positive,REVIEW,,Context reviewed; source verification required before normalization.
rhini-tis,REVIEW,rhinitis,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
ri-ght,REVIEW,right,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
ri-ha,REVIEW,,Context reviewed; source verification required before normalization.
riased,REVIEW,,Context reviewed; source verification required before normalization.
riboßavin,REVIEW,,Context reviewed; source verification required before normalization.
richomonas,REVIEW,,Context reviewed; source verification required before normalization.
riedel,REVIEW,,Unrecognized lexical token; verify against source
romanovskygiemsa,REVIEW,,Context reviewed; source verification required before normalization.
roteus,REVIEW,,Context reviewed; source verification required before normalization.
rypanosoma,REVIEW,,Context reviewed; source verification required before normalization.
sabstance,REVIEW,,Context reviewed; source verification required before normalization.
saginatus,REVIEW,,Context reviewed; source verification required before normalization.
samarqand,REVIEW,,Context reviewed; source verification required before normalization.
saught,REVIEW,,Context reviewed; source verification required before normalization.
scgmcntal,REVIEW,,Context reviewed; source verification required before normalization.
schizocytes,REVIEW,,Unrecognized lexical token; verify against source
scin,REVIEW,,Context reviewed; source verification required before normalization.
sedati-ve,REVIEW,sedative,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
segmentonuclear,REVIEW,,Context reviewed; source verification required before normalization
selfadministered,REVIEW,,Context reviewed; source verification required before normalization.
sensibilized,REVIEW,,Context reviewed; source verification required before normalization
sensoepithelial,REVIEW,,Context reviewed; source verification required before normalization.
sensori,REVIEW,,Context reviewed; source verification required before normalization.
senstive,REVIEW,,Context reviewed; source verification required before normalization.
serotonine,REVIEW,,Context reviewed; source verification required before normalization.
serousmucous,REVIEW,,Context reviewed; source verification required before normalization.
serratiform,REVIEW,,Context reviewed; source verification required before normalization.
seudomonas,REVIEW,,Context reviewed; source verification required before normalization.
si-gnificant,REVIEW,significant,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
si-gns,REVIEW,,Unrecognized lexical token; verify against source
sibazon,REVIEW,,Context reviewed; source verification required before normalization.
sickpeople,REVIEW,,Context reviewed; source verification required before normalization.
sidé,REVIEW,,Context reviewed; source verification required before normalization.
siechenov,REVIEW,,Context reviewed; source verification required before normalization.
siliborum,REVIEW,,Context reviewed; source verification required before normalization.
simptoms,REVIEW,,Context reviewed; source verification required before normalization.
singlelayer,REVIEW,,Context reviewed; source verification required before normalization.
sino-atrial,REVIEW,,Unrecognized lexical token; verify against source
sinusoidhemocapillary,REVIEW,,Context reviewed; source verification required before normalization.
sistem,REVIEW,,Context reviewed; source verification required before normalization.
sitc,REVIEW,,Context reviewed; source verification required before normalization.
skinrash,REVIEW,,Context reviewed; source verification required before normalization.
solifugae,REVIEW,,Context reviewed; source verification required before normalization.
soluti-ons,REVIEW,,Unrecognized lexical token; verify against source
somatoliberin,REVIEW,,Context reviewed; source verification required before normalization.
someti-mes,REVIEW,sometimes,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
sorface,REVIEW,,Context reviewed; source verification required before normalization.
spamolytics,REVIEW,,Context reviewed; source verification required before normalization.
spesify,REVIEW,,Context reviewed; source verification required before normalization.
sphate,REVIEW,,Context reviewed; source verification required before normalization.
sphinctct,REVIEW,,Context reviewed; source verification required before normalization.
sphingolipids,REVIEW,,Context reviewed; source verification required before normalization.
spinalcord,REVIEW,,Context reviewed; source verification required before normalization.
spinalnerveof,REVIEW,,Context reviewed; source verification required before normalization.
spinarum,REVIEW,,Context reviewed; source verification required before normalization.
spinned,REVIEW,,Context reviewed; source verification required before normalization.
spinothalarnic,REVIEW,,Context reviewed; source verification required before normalization.
spiralized,REVIEW,,Context reviewed; source verification required before normalization.
spirochaetae,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
splemc,REVIEW,,Context reviewed; source verification required before normalization.
sporification,REVIEW,,Context reviewed; source verification required before normalization.
sprctding,REVIEW,,Context reviewed; source verification required before normalization.
sromach,LIKELY_TYPO,stomach,Probable spelling/OCR error
sscl,REVIEW,,Context reviewed; source verification required before normalization.
staminic,REVIEW,,Context reviewed; source verification required before normalization.
stapedins,REVIEW,,Context reviewed; source verification required before normalization.
sti-muli,REVIEW,,Unrecognized lexical token; verify against source
stratilied,REVIEW,,Context reviewed; source verification required before normalization.
streatorrhea,REVIEW,,Context reviewed; source verification required before normalization.
streprococcic,REVIEW,,Context reviewed; source verification required before normalization.
streptocide,REVIEW,,Context reviewed; source verification required before normalization.
striatopallidal,REVIEW,,Context reviewed; source verification required before normalization.
strophanthine,REVIEW,,Context reviewed; source verification required before normalization.
stumulate,LIKELY_TYPO,stimulate,Probable spelling/OCR error
stumulation,REVIEW,,Context reviewed; source verification required before normalization.
subfebrile,REVIEW,,Context reviewed; source verification required before normalization
sufferi-ng,REVIEW,suffering,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
sulfalen,REVIEW,,Context reviewed; source verification required before normalization.
sulfanamides,REVIEW,,Unrecognized lexical token; verify against source
sulfhydric,REVIEW,,Context reviewed; source verification required before normalization.
sulfocamphocainum,REVIEW,,Context reviewed; source verification required before normalization.
sulfocamphoric,REVIEW,,Context reviewed; source verification required before normalization.
superdistended,REVIEW,,Context reviewed; source verification required before normalization.
superficiali,REVIEW,,Context reviewed; source verification required before normalization.
superi-or,REVIEW,superior,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
superinfeclion,REVIEW,,Context reviewed; source verification required before normalization.
superlaryngeal,REVIEW,,Context reviewed; source verification required before normalization.
suppressi-on,LIKELY_TYPO,suppression,Probable PDF hyphenation artifact
suppurati-ng,REVIEW,suppurating,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
supracutaneous,REVIEW,,Context reviewed; source verification required before normalization.
supramarginalis,REVIEW,,Context reviewed; source verification required before normalization.
suprapiriforme,REVIEW,,Context reviewed; source verification required before normalization.
suprastin,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
supression,REVIEW,,Context reviewed; source verification required before normalization.
supressor,REVIEW,,Context reviewed; source verification required before normalization.
surfacehas,REVIEW,,Context reviewed; source verification required before normalization.
surfase,REVIEW,,Context reviewed; source verification required before normalization.
sustac,REVIEW,,Context reviewed; source verification required before normalization.
sustakforte,REVIEW,,Context reviewed; source verification required before normalization.
sustenocytes,REVIEW,,Context reviewed; source verification required before normalization.
swelli-ng,REVIEW,,Unrecognized lexical token; verify against source
sydnocarb,REVIEW,,Context reviewed; source verification required before normalization.
syffering,REVIEW,,Context reviewed; source verification required before normalization.
sympatheticadrenal,REVIEW,,Verify terminology against source
synaflan,REVIEW,,Context reviewed; source verification required before normalization.
syncumar,REVIEW,,Context reviewed; source verification required before normalization.
synthesi-ze,REVIEW,synthesize,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
synyhesis,REVIEW,,Context reviewed; source verification required before normalization.
t-lymphocytcs,REVIEW,,Context reviewed; source verification required before normalization.
t-lymphocytes,REVIEW,,Context reviewed; source verification required before normalization
t-lymphocytes-supressors,REVIEW,,Context reviewed; source verification required before normalization.
tabte,REVIEW,,Context reviewed; source verification required before normalization.
tachyarrythmia,REVIEW,,Context reviewed; source verification required before normalization.
tachypnoe,REVIEW,,Verify source terminology/spelling
tactors,REVIEW,,Context reviewed; source verification required before normalization.
taeniarhynchosis,REVIEW,,Context reviewed; source verification required before normalization.
talkati-veness,REVIEW,talkativeness,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
tavegil,REVIEW,,Context reviewed; source verification required before normalization.
tavegyl,REVIEW,,Context reviewed; source verification required before normalization.
techni-que,REVIEW,technique,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
tehran,REVIEW,,Context reviewed; source verification required before normalization.
tesncuiaris,REVIEW,,Context reviewed; source verification required before normalization.
tetracocci,REVIEW,,Context reviewed; source verification required before normalization.
teturamum,REVIEW,,Context reviewed; source verification required before normalization.
tgyroxin,LIKELY_TYPO,thyroxin,High-confidence lexical/OCR correction candidate; verify before applying.
thafis,REVIEW,,Context reviewed; source verification required before normalization.
